2308.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,MA60,d_CO,d_HL,Adj_Close,Volume,VA/D,d_VA/D,%R8,%R21,DIF,DEM,d_MA5/20
2002-12-09,40.3752,39.4262,39.8576,39.4262,0.2587,0.433948646166,0.479590267674,39.66782,39.3486,38.8669066667,-0.4314,0.949,21.3724,7.2154,-1056.97939264,-7.2154,-0.521822396936,-0.457128663686,0.0309626281831,0.0240868270042,0.31922
2002-12-10,39.0811,37.5282,38.9086,37.9597,-1.4665,0.377047622667,0.423425963637,39.18472,39.279585,38.815145,-0.9489,1.5529,20.5774,9.6866,-1061.28281549,-4.30342284758,-1.0,-1.0,-0.078927074318,0.00348404673972,-0.094865
2002-12-11,38.1322,37.2695,37.9597,37.3557,-0.604,0.377040457595,0.408688640258,38.71884,39.1243,38.7533166667,-0.604,0.8627,20.25,5.4778,-1065.66594444,-4.38312894401,-0.687567920017,-0.722266945741,-0.212297900217,-0.0396723426516,-0.40546
2002-12-12,37.8733,36.6655,37.3557,37.8733,0.5176,0.43282755757,0.486233556305,38.35648,39.016455,38.692925,0.5176,1.2078,20.5306,6.4147,-1059.25124444,6.4147,-0.281279432008,-0.361101271937,-0.310935180905,-0.0939249103022,-0.659975
2002-12-13,37.9597,37.5282,37.9597,37.5282,-0.3451,0.363629976992,0.477469480675,38.02862,38.93881,38.672795,-0.4315,0.4315,20.3436,5.5708,-1064.82204444,-5.5708,-0.434806713371,-0.638898728063,-0.379508432943,-0.15104161483,-0.91019
2002-12-16,37.3557,36.6655,37.2695,36.6655,-0.8627,0.14752104593,0.333333333333,37.47648,38.78352,38.62822,-0.604,0.6902,19.8759,3.1234,-1067.94544444,-3.1234,-0.695680661257,-0.805570761552,-0.492569146843,-0.219347121233,-1.30704
2002-12-17,37.097,36.5792,36.9243,36.6655,0.0,0.169786973448,0.298956752429,37.21764,38.645485,38.56783,-0.2588,0.5178,19.8759,4.1436,-1070.70784444,-2.7624,-0.260873947886,-0.527773305426,-0.582416496515,-0.291960996289,-1.427845
2002-12-18,36.9243,36.0616,36.6655,36.5792,-0.0863,0.16664162284,0.325831281991,37.06234,38.51607,38.52038,-0.0863,0.8627,19.8291,3.7233,-1069.96335707,0.744487365249,-0.304369739428,-0.555562711319,-0.66338132607,-0.366245062245,-1.45373
2002-12-19,36.493,34.6813,36.4067,34.7676,-1.8116,0.130415791684,0.281545421806,36.4412,38.34784,38.449925,-1.6391,1.8117,18.8471,9.8474,-1078.87259885,-8.90924178396,-1.0,-1.0,-0.827641732974,-0.458524396391,-1.90664
2002-12-20,37.1832,34.5951,34.7676,37.1832,2.4156,0.361703701877,0.435113085336,36.3722,38.309015,38.4585533333,2.4156,2.5881,20.1565,16.1002,-1062.77239885,16.1002,0.0,0.0,-0.838509667353,-0.534521450583,-1.936815
2002-12-23,38.391,37.097,37.3557,37.1832,0.0,0.441554140511,0.412699288862,36.47574,38.18824,38.43986,-0.1725,1.294,20.1565,8.9681,-1070.54567626,-7.7732774034,-0.571442089326,-0.571442089326,-0.763486143947,-0.580314389256,-1.7125
2002-12-24,37.5282,36.3205,37.5282,36.4067,-0.7765,0.430378260997,0.308327618017,36.42398,38.007065,38.409665,-1.1215,1.2077,19.7356,4.9523,-1074.79103205,-4.245355792,-0.75513342165,-0.75513342165,-0.759670435935,-0.616185598592,-1.583085
2002-12-25,36.7517,35.3714,36.4067,35.4578,-0.9489,0.333337933128,0.300807644825,36.1997,37.81727,38.363655,-0.9489,1.3803,19.2212,3.2021,-1077.59226059,-2.80122853727,-0.795916919001,-0.795916919001,-0.820285246627,-0.657005528199,-1.61757
2002-12-26,36.2341,35.3714,35.8028,35.9754,0.5176,0.395352598663,0.333327342816,36.44126,37.68355,38.3449616667,0.1726,0.8627,19.5018,5.1616,-1075.52630431,2.06595627681,-0.448996971991,-0.448996971991,-0.848104995783,-0.695225421716,-1.24229
2002-12-27,36.6655,35.8028,36.6655,35.9754,0.0,0.447372836117,0.349586753494,36.1997,37.54983,38.3262683333,-0.6901,0.8627,19.5018,3.7988,-1077.8050559,-2.27875159383,-0.571442089326,-0.571442089326,-0.843029243745,-0.724786186121,-1.35013
2002-12-30,36.2341,35.1127,36.2341,35.1127,-0.8627,0.395352598663,0.307692307692,35.7856,37.35141,38.3032633333,-1.1214,1.1214,19.0341,2.8497,-1080.6547559,-2.8497,-0.775525170326,-0.775525170326,-0.886221127547,-0.757073174407,-1.56581
2002-12-31,35.4578,35.0263,35.1127,35.0263,-0.0864,0.395347269958,0.350869344179,35.50952,37.083965,38.2759433333,-0.0864,0.4315,18.9873,1.9532,-1082.6079559,-1.9532,-0.743646901471,-0.591881150643,-0.930612533631,-0.791781046252,-1.574445
